Date, AQI Value,Main Pollutant,County,Site Name,Site ID,Source,20-year High (1980-2019),20-year Low (1980-2019),5-year Average (2015-2019)
1/1/2020,24,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,63,6,30.8
1/2/2020,31,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,58,17,33.4
1/3/2020,23,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,41,13,32.2
1/4/2020,34,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,59,15,28.6
1/5/2020,27,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,59,12,28.6
1/6/2020,26,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,64,17,32.4
1/7/2020,29,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,56,20,34.8
1/8/2020,30,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,65,14,33.8
1/9/2020,25,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,54,16,35
1/10/2020,31,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,56,9,32.2
1/11/2020,32,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,62,24,31.4
1/12/2020,30,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,51,15,30.6
1/13/2020,28,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,60,19,31.8
1/14/2020,21,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,64,8,30.6
1/15/2020,48,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,67,15,43.8
1/16/2020,31,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,63,18,41
1/17/2020,32,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,68,13,33.2
1/18/2020,31,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,49,8,35
1/19/2020,28,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,75,16,38.6
1/20/2020,36,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,63,10,28
1/21/2020,31,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,53,13,35.6
1/22/2020,28,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,66,11,36
1/23/2020,45,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,58,17,33.4
1/24/2020,31,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,63,10,33
1/25/2020,34,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,62,22,33.2
1/26/2020,21,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,51,18,32.2
1/27/2020,26,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,57,15,33.4
1/28/2020,31,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,72,19,31.6
1/29/2020,31,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,71,7,37
1/30/2020,31,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,71,11,34
1/31/2020,33,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,54,17,37.8
2/1/2020,29,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,63,17,34.8
2/2/2020,52,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,68,14,39.6
2/3/2020,31,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,65,22,41.6
2/4/2020,34,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,59,9,37.6
2/5/2020,29,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,68,20,40
2/6/2020,24,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,63,18,37.6
2/7/2020,29,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,167,15,33.6
2/8/2020,33,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,60,15,39
2/9/2020,32,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,65,26,36
2/10/2020,28,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,69,16,33
2/11/2020,22,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,66,24,33.6
2/12/2020,30,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,58,26,35.6
2/13/2020,31,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,46,18,34
2/14/2020,29,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,56,19,34
2/15/2020,28,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,59,27,35.2
2/16/2020,29,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,62,21,33.4
2/17/2020,40,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,53,26,37.2
2/18/2020,34,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,48,20,35.4
2/19/2020,32,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,56,19,37.4
2/20/2020,34,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,83,26,34.8
2/21/2020,31,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,65,13,41.4
2/22/2020,34,Ozone,Atlantic,Brigantine,34-001-0006,AirNow,63,23,34
2/23/2020,38,PM2.5,Atlantic,Brigantine,34-001-0006,AirNow,52,20,37.4
